Ano,Mes,Data,Último
2018,12,2018-12-15 19:12:00.000000000,1251.8505
2019,1,2019-01-16 00:00:00.000000000,1292.3460869565217
2019,2,2019-02-15 02:24:00.000000000,1319.068
2019,3,2019-03-15 18:17:08.571428608,1300.8228571428572
2019,4,2019-04-14 18:17:08.571428608,1286.24
2019,5,2019-05-16 08:20:52.173913088,1284.0930434782608
2019,6,2019-06-15 12:00:00.000000000,1361.6825000000001
2019,7,2019-07-15 15:39:07.826086912,1415.7152173913043
2019,8,2019-08-16 01:05:27.272727296,1503.4699999999998
2019,9,2019-09-15 05:42:51.428571392,1508.2285714285713
2019,10,2019-10-16 00:00:00.000000000,1494.9982608695652
2019,11,2019-11-15 18:17:08.571428608,1470.2357142857143
2019,12,2019-12-15 22:54:32.727272704,1482.765
2020,1,2020-01-16 08:20:52.173913088,1559.5991304347826
2020,2,2020-02-15 12:00:00.000000000,1595.558
2020,3,2020-03-15 22:54:32.727272704,1591.8818181818183
2020,4,2020-04-15 16:21:49.090909184,1686.4568181818183
2020,5,2020-05-15 18:17:08.571428608,1718.7504761904763
2020,6,2020-06-14 22:54:32.727272704,1735.8790909090908
2020,7,2020-07-16 08:20:52.173913088,1846.6026086956522
2020,8,2020-08-16 05:42:51.428571392,1970.0623809523809
2020,9,2020-09-15 07:38:10.909090816,1923.2186363636363
2020,10,2020-10-16 01:05:27.272727296,1899.755
2020,11,2020-11-15 05:42:51.428571392,1865.4466666666665
2020,12,2020-12-16 00:00:00.000000000,1860.1273913043478
2021,1,2021-01-15 18:17:08.571428608,1866.2523809523811
2021,2,2021-02-13 12:00:00.000000000,1808.087
2021,3,2021-03-15 15:39:07.826086912,1721.4065217391303
2021,4,2021-04-16 01:05:27.272727296,1759.0172727272727
2021,5,2021-05-16 05:42:51.428571392,1852.4895238095237
2021,6,2021-06-15 07:38:10.909090816,1831.8922727272727
2021,7,2021-07-16 01:05:27.272727296,1805.6463636363637
2021,8,2021-08-15 22:54:32.727272704,1786.16
2021,9,2021-09-15 16:21:49.090909184,1777.2777272727274
2021,10,2021-10-15 18:17:08.571428608,1776.2995238095239
2021,11,2021-11-14 22:54:32.727272704,1817.9027272727274
2021,12,2021-12-16 08:20:52.173913088,1792.5017391304348
2022,1,2022-01-16 05:42:51.428571392,1815.9114285714286
2022,2,2022-02-13 21:36:00.000000000,1859.0279999999998
2022,3,2022-03-16 00:00:00.000000000,1951.525652173913
2022,4,2022-04-15 18:17:08.571428608,1936.9942857142855
2022,5,2022-05-15 22:54:32.727272704,1848.0818181818183
2022,6,2022-06-15 16:21:49.090909184,1836.765
2022,7,2022-07-15 18:17:08.571428608,1736.4657142857143
2022,8,2022-08-15 15:39:07.826086912,1763.0695652173913
2022,9,2022-09-16 01:05:27.272727296,1680.7286363636363
2022,10,2022-10-16 05:42:51.428571392,1665.6185714285714
2022,11,2022-11-15 07:38:10.909090816,1729.2072727272725
2022,12,2022-12-16 01:05:27.272727296,1797.4627272727273
